"","id","mb06","mb01","au01","au01_desc","ta01","ta01_desc","rc01","rc01_desc","lma58_91","lma140_91","lma140_91_desc","geo_coding_quality","property_type","totalbeds","doublebeds","singlebeds","prop_cnstr_date","latest_prop_status","previous_prop_status","lastest_change_date","lastest_change_year","lastest_change_month","takeover_date","takeover_year","takeover_month","property_status","property_sold","property_current","property_destroyed","settled_date","settled_year","settled_month","sales_data_missing","sale_type","sale_price","auckland_takeover","community_sales","destroyed_date"
"54821",150016,1873700,1873700,564220,"Levin West",42,"Horowhenua District",8,"Manawatu-Wanganui Region",38,86,"Levin","Provided by HNZC","Single Unit",3,3,0,1960,"","","",NA,NA,"09jun1960",1960,6,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"56044",157076,1935100,1935100,568201,"Taita North",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Multi Unit",3,3,0,1962,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"79437",168924,2955300,2955300,605920,"Concord",71,"Dunedin City",14,"Otago Region",55,127,"Dunedin","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,2,0,1978,"Deleted","Vac Homebuy","29oct1999",1999,10,"16feb1978",1978,2,"Sold",1,0,0,"19oct1999",1999,10,0,"Homebuy Sale",59600,0,0,""
"16608",107854,575000,575000,518801,"Walmsley",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Double Unit",2,1,1,1948,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"57598",152873,1951800,1951800,568502,"Epuni East",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Star Flat",1,1,0,1966,"","","",NA,NA,"30nov1966",1966,11,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"79197",167058,2925500,2925500,604500,"St Clair",71,"Dunedin City",14,"Otago Region",55,127,"Dunedin","Provided by HNZC","Single Unit",3,2,1,1946,"","","",NA,NA,"13sep1949",1949,9,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"64538",155139,2081100,2081100,573600,"Johnsonville North",47,"Wellington City",9,"Wellington Region",40,88,"Wellington","Provided by HNZC","Double Unit",3,2,1,1974,"","","",NA,NA,"29nov1974",1974,11,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"31321",166112,775813,775813,524713,"Rowandale",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,2,1,1979,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"61411",147322,2042800,2042800,570400,"Titahi Bay North",44,"Porirua City",9,"Wellington Region",40,88,"Wellington","Provided by HNZC","Single Unit",4,3,1,1953,"","","",NA,NA,"16mar1953",1953,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"47006",175983,1475400,1475400,548620,"Flaxmere East",30,"Hastings District",6,"Hawke's Bay Region",25,59,"Hastings","Provided by HNZC","Single Unit",5,5,0,1974,"","","",NA,NA,"23apr1999",1999,4,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"72322",162118,2566800,2566800,593700,"East Linwood",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Single Unit",2,2,0,1954,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"57949",145678,1955200,1955200,568302,"Naenae North",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Double Unit",3,3,0,1948,"","","",NA,NA,"19aug1948",1948,8,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"55889",151030,1934700,1934700,568201,"Taita North",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Multi Unit",3,2,1,1961,"","","",NA,NA,"15dec1961",1961,12,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"51761",148215,1723600,1723600,556300,"Gonville East",37,"Wanganui District",8,"Manawatu-Wanganui Region",33,76,"Wanganui","Provided by HNZC","Single Unit",2,2,0,1956,"","","",NA,NA,"07jun1956",1956,6,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"5291",179745,272403,272403,511700,"Kelston Central",6,"Waitakere City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Single Unit",3,3,0,2000,"","","",NA,NA,"09feb2001",2001,2,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"24503",115144,708200,708200,523602,"Ferguson",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Multi Unit",3,3,0,1966,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"27650",115961,737302,737302,524121,"Arahanga",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,3,0,1969,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"13125",112896,477800,477800,517100,"Point England",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Star Flat",2,2,0,1962,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"42686",166019,1308800,1308800,542440,"Allandale-Mokorua",25,"Whakatane District",4,"Bay of Plenty Region",23,50,"Whakatane","Provided by HNZC","Single Unit",3,3,0,1965,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"18706",181216,596501,596500,519710,"Onehunga North West",7,"Auckland City",2,"Auckland Region",7,15,"Manukau","Reliably coded through CRS, or obtained via google API and verified","Multi Unit",0,0,0,1950,"Deleted","Vacant","05apr2005",2005,4,"28feb2003",2003,2,"Sold",1,0,0,"04apr2005",2005,4,0,"Vacant Sale",1,1,0,""
"20450",181087,627700,627700,520300,"Mt Wellington North",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Multi Unit",1,1,0,1966,"","","",NA,NA,"28feb2003",2003,2,"Current",0,1,0,"",NA,NA,0,"",NA,1,0,""
"48990",132453,1569000,1569000,552500,"Struan Park",33,"New Plymouth District",7,"Taranaki Region",28,62,"New Plymouth","Provided by HNZC","Double Unit",1,1,0,1941,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"79935",166654,2969000,2969000,606210,"Mosgiel South",71,"Dunedin City",14,"Otago Region",55,127,"Dunedin","Provided by HNZC","Single Unit",2,1,1,1939,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"16467",120845,569200,569200,518701,"Hillsborough West",7,"Auckland City",2,"Auckland Region",7,15,"Manukau","Provided by HNZC","Double Unit",2,2,0,1984,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"48115",138126,1503100,1503100,548300,"Akina",30,"Hastings District",6,"Hawke's Bay Region",25,59,"Hastings","Provided by HNZC","Star Flat",2,2,0,1962,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"62553",151402,2050600,2050600,571200,"Cannons Creek South",44,"Porirua City",9,"Wellington Region",40,88,"Wellington","Provided by HNZC","Double Unit",1,1,0,1963,"","","",NA,NA,"15jan1963",1963,1,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"15601",184896,541700,541700,517702,"Sandringham West",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Single Unit",4,4,0,2007,"","","",NA,NA,"20jul2007",2007,7,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"5379",170288,273600,273600,511602,"Glendene South",6,"Waitakere City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Complex",2,1,1,1988,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"48964",132431,1568800,1568800,552500,"Struan Park",33,"New Plymouth District",7,"Taranaki Region",28,62,"New Plymouth","Provided by HNZC","Single Unit",3,2,1,1940,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"53896",146958,1841000,1841000,562500,"Roslyn",40,"Palmerston North City",8,"Manawatu-Wanganui Region",35,81,"Palmerston North","Provided by HNZC","Single Unit",3,2,1,1951,"","","",NA,NA,"06nov1951",1951,11,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"31789",104527,780411,780411,524602,"Wiri",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Complex",2,2,0,1991,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"33620",166571,NA,799103,525610,"Papakura East",9,"Papakura District",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",2,2,0,1988,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"40365",125539,1169600,1169600,538101,"Tauranga Hospital",23,"Tauranga District",4,"Bay of Plenty Region",21,46,"Tauranga","Provided by HNZC","Single Unit",4,4,0,1948,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"75827",160325,2669700,2669700,592000,"Aorangi",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Reliably coded through CRS, or obtained via google API and verified","Single Unit",3,2,1,1947,"Deleted","Vac Homebuy","21feb1998",1998,2,"01mar1986",1986,3,"Sold",1,0,0,"18feb1998",1998,2,0,"Homebuy Sale",107000,0,0,""
"15873",103060,560500,560500,518500,"Three Kings",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Reliably coded through CRS, or obtained via google API and verified","Double Unit",2,1,1,1941,"Deleted","Vac Pend Set","19mar1999",1999,3,"01mar1986",1986,3,"Sold",1,0,0,"16mar1999",1999,3,0,"Vacant Sale",171000,0,0,""
"13228",183764,477900,477900,517100,"Point England",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Multi Storey",2,2,0,2006,"","","",NA,NA,"21jul2006",2006,7,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"63209",153505,2058600,2058600,571400,"Waitangirua",44,"Porirua City",9,"Wellington Region",40,88,"Wellington","Provided by HNZC","Double Unit",3,2,1,1968,"","","",NA,NA,"22may1968",1968,5,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"664",121404,49000,49000,501620,"Pokere-Waihaha",1,"Far North District",1,"Northland Region",4,6,"Moerewa","Provided by HNZC","Complex",3,3,0,1984,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"29301",110408,758700,758700,524902,"Manurewa East",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Reliably coded through CRS, or obtained via google API and verified","Single Unit",3,3,0,1954,"Deleted","Vac Pend Set","13nov1998",1998,11,"01mar1986",1986,3,"Sold",1,0,0,"06nov1998",1998,11,0,"Vacant Sale",157500,0,0,""
"37405",176720,927800,927800,529200,"Melville",16,"Hamilton City",3,"Waikato Region",14,30,"Hamilton","Provided by HNZC","Single Unit",2,2,0,2002,"","","",NA,NA,"28feb2002",2002,2,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"37339",126422,923800,923800,530400,"Bader",16,"Hamilton City",3,"Waikato Region",14,30,"Hamilton","Provided by HNZC","Single Unit",3,2,1,1955,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"77198",163193,2796100,2796100,599600,"Watlington",64,"Timaru District",13,"Canterbury Region",50,115,"Timaru","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,2,0,1959,"Deleted","Vac Und Sale","12aug1995",1995,8,"01mar1986",1986,3,"Sold",1,0,0,"11aug1995",1995,8,0,"Vacant Sale",36000,0,0,""
"71666",165042,2524702,2524702,588600,"Harewood",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Double Unit",2,2,0,1976,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"23407",114632,700300,700300,523501,"Otara North",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Double Unit",2,2,0,1964,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"63194",153648,2058600,2058600,571400,"Waitangirua",44,"Porirua City",9,"Wellington Region",40,88,"Wellington","Reliably coded through CRS, or obtained via google API and verified","Double Unit",3,2,1,1968,"Deleted","Vac Homebuy","11dec1999",1999,12,"12nov1968",1968,11,"Sold",1,0,0,"08dec1999",1999,12,0,"Homebuy Sale",30000,0,0,""
"87",177650,NA,12901,500301,"Kaitaia West",1,"Far North District",1,"Northland Region",1,1,"Kaitaia","Provided by HNZC","Single Unit",5,5,0,2002,"","","",NA,NA,"13jul2006",2006,7,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"34163",123419,817300,817300,525910,"Pukekohe North",10,"Franklin District",2,"Auckland Region",8,17,"Pukekohe","Provided by HNZC","Single Unit",2,2,0,1987,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"6326",124112,333100,333100,509400,"Mt Victoria",5,"North Shore City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Single Unit",2,2,0,1986,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"21646",136018,641600,641600,520402,"Hamlin",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",2,2,0,1990,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"17001",108043,577300,577300,518802,"Wesley",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Single Unit",3,2,1,1947,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"80070",169175,3029303,3029303,608600,"Cromwell",69,"Central Otago District",14,"Otago Region",53,124,"Alexandra","Reliably coded through CRS, or obtained via google API and verified","Single Unit",3,3,0,1987,"Deleted","Vac Homebuy","01aug1998",1998,8,"01mar1986",1986,3,"Sold",1,0,0,"24jul1998",1998,7,0,"Homebuy Sale",80000,0,0,""
"11831",110674,472800,472800,517002,"Glen Innes East",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Reliably coded through CRS, or obtained via google API and verified","Single Unit",3,3,0,1954,"Deleted","Vac Pend Set","17aug1996",1996,8,"01mar1986",1986,3,"Sold",1,0,0,"15aug1996",1996,8,0,"Vacant Sale",147000,0,0,""
"60840",172364,2038500,2038500,570700,"Elsdon-Takapuwahia",44,"Porirua City",9,"Wellington Region",40,88,"Wellington","Provided by HNZC","Multi Unit",2,2,0,1970,"","","",NA,NA,"01jun1986",1986,6,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"57791",145778,1954000,1954000,568303,"Naenae South",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Multi Unit",3,2,1,1949,"","","",NA,NA,"27jun1949",1949,6,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"14999",104821,523600,523600,517901,"Springleigh",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Single Unit",2,2,0,1940,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"40006",129283,1138904,1138904,535320,"Parkdale",19,"South Waikato District",3,"Waikato Region",17,36,"Tokoroa","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,2,0,1982,"Deleted","Vac Pend Set","23mar1999",1999,3,"01mar1986",1986,3,"Sold",1,0,0,"19mar1999",1999,3,0,"Vacant Sale",37050,0,0,""
"50809",143904,1691800,1691800,557500,"Williams Domain",37,"Wanganui District",8,"Manawatu-Wanganui Region",33,76,"Wanganui","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,2,0,1944,"Deleted","Vac Und Sale","18jun1996",1996,6,"08jun1944",1944,6,"Sold",1,0,0,"07jun1996",1996,6,0,"Vacant Sale",51000,0,0,""
"20713",109457,630600,630600,520601,"Tamaki",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,3,0,1952,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"68332",103000,2343400,2343400,583900,"Isel Park",52,"Nelson City",17,"Nelson Region",43,96,"Nelson","Provided by HNZC","Single Unit",2,2,0,1991,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"6595",124109,344800,344800,510020,"Beachhaven South",5,"North Shore City",2,"Auckland Region",7,13,"Central Auckland","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,2,0,1986,"Deleted","Destroyd Unt","10nov2004",2004,11,"01mar1986",1986,3,"Destroyed",0,0,1,"",NA,NA,0,"",NA,0,0,"10nov2004"
"4277",183970,238701,238701,513100,"Swanson",6,"Waitakere City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Single Unit",4,4,0,2005,"","","",NA,NA,"13apr2006",2006,4,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"59432",146099,1975900,1975900,568701,"Waiwhetu North",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Single Unit",3,3,0,1949,"","","",NA,NA,"31oct1949",1949,10,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
