OBJECTID,BASIC_COLOUR,BODY_TYPE,CC_RATING,CHASSIS7,FIRST_NZ_REGISTRATION_YEAR,FIRST_NZ_REGISTRATION_MONTH,GROSS_VEHICLE_MASS,HEIGHT,IMPORT_STATUS,MAKE,MODEL,MOTIVE_POWER,NUMBER_OF_AXLES,NUMBER_OF_SEATS,NZ_ASSEMBLED,ORIGINAL_COUNTRY,POWER_RATING,PREVIOUS_COUNTRY,ROAD_TRANSPORT_CODE,SUBMODEL,TLA,TRANSMISSION_TYPE,VDAM_WEIGHT,VEHICLE_TYPE,VEHICLE_USAGE,VEHICLE_YEAR
10215,SILVER,DOMESTIC TRAILER,0,,2002,9,0,0,NEW,TRAILER,GOODBUILT,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,,TARARUA DISTRICT,,0,TRAILER/CARAVAN,OTHER GOODS,2002
10216,GREY,DOMESTIC TRAILER,0,99359,1999,9,0,0,NEW,TRAILER,LOCAL,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,,WAIPA DISTRICT,,0,TRAILER/CARAVAN,OTHER GOODS,1999
10217,BLACK,MOTORCYCLE,500,2000557,1976,11,0,0,RE-REG,TRIUMPH,500,PETROL,0,0,IMPORTED BUILT-UP,NOT KNOWN,0,NONE,,,AUCKLAND,,0,MOTORCYCLE,PRIVATE PASSENGER,1928
10218,RED,SALOON,5800,CB3804,1990,4,0,0,RE-REG,FORD,ANGLIA,PETROL,0,2,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NEW ZEALAND,,POPULAR,NEW PLYMOUTH DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1952
10219,WHITE,SALOON,2962,6F4SCRR,1990,3,0,0,NEW,NISSAN,SKYLINE,PETROL,0,5,UNKNOWN,AUSTRALIA,0,NONE,,,WHANGANUI DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1990
10220,GREY,HATCHBACK,1323,,1991,3,0,0,NEW,FORD,FESTIVA,PETROL,0,5,UNKNOWN,SOUTH KOREA,0,NONE,,1.3GL,WAIPA DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1990
10221,BLUE,HATCHBACK,1295,EE90905,1991,4,0,0,NEW,TOYOTA,COROLLA,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,,H/B MAN,WELLINGTON CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1991
10222,RED,STATION WAGON,2990,MCR30-0,2007,12,2135,0,USED,TOYOTA,ESTIMA,PETROL,0,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,T 3.0 G,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
10223,PINK,HATCHBACK,997,SCP10-3,2009,8,1145,0,USED,TOYOTA,VITZ,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,CHRISTCHURCH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
10224,GREY,STATION WAGON,1998,SXM10-0,2009,12,1805,0,USED,TOYOTA,GAIA,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1999
10225,SILVER,HATCHBACK,998,SCP10-5,2008,3,1135,0,USED,TOYOTA,VITZ,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,HASTINGS DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2000
10226,BLUE,SALOON,1493,,1991,3,0,0,NEW,HONDA,CIVIC,PETROL,0,5,UNKNOWN,NEW ZEALAND,0,NONE,,4DR LX MAN,TIMARU DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1990
10227,RED,SALOON,1974,UU12-A0,1991,1,0,0,NEW,NISSAN,BLUEBIRD,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,,ZXE,DUNEDIN CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1991
10228,RED,HATCHBACK,1498,BJ5W-20,2003,12,0,0,USED,MAZDA,FAMILIA,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,SOUTHLAND DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2000
10229,RED,MOTORCYCLE,250,MD03500,1984,9,0,0,NEW,HONDA,XL250,PETROL,0,0,UNKNOWN,NOT KNOWN,0,NONE,,RC,AUCKLAND,,0,MOTORCYCLE,PRIVATE PASSENGER,1982
10230,GREY,HATCHBACK,1295,EE90905,1991,8,0,0,NEW,TOYOTA,COROLLA,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,,HB AUTO,WAITAKI DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1991
10231,GREEN,DOMESTIC TRAILER,0,,2002,4,0,0,NEW,TRAILER,DOMESTIC TRAILER,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,,SOUTHLAND DISTRICT,,0,TRAILER/CARAVAN,OTHER GOODS,2002
10232,GREEN,MOTORCYCLE,748,,2007,6,0,0,NEW,KAWASAKI,ZR,PETROL,0,0,IMPORTED BUILT-UP,JAPAN,77,NONE,,750L,KAPITI COAST DISTRICT,,0,MOTORCYCLE,PRIVATE PASSENGER,2007
10233,GREEN,HATCHBACK,1498,,2001,7,0,0,NEW,NISSAN,PULSAR,PETROL,0,5,IMPORTED BUILT-UP,UNITED KINGDOM,66,NONE,,1.5 LX 5DR HATCH 5M,SELWYN DISTRICT,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
10234,WHITE,HATCHBACK,1498,,2001,9,0,0,NEW,NISSAN,PULSAR,PETROL,0,5,IMPORTED BUILT-UP,UNITED KINGDOM,66,NONE,,1.5 LX 5DR HATCH 5M,FAR NORTH DISTRICT,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
10235,WHITE,HATCHBACK,1300,302444,1990,3,0,0,NEW,SUZUKI,SAMURAI,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,,,TAUPO DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1990
10236,WHITE,HATCHBACK,1000,KD5K5TK,1989,11,0,0,NEW,SUBARU,JUSTY,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,,10 GL,STRATFORD DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1989
10237,BLUE,SALOON,5000,6H8UNLI,1989,11,0,0,NEW,HOLDEN,COMMODORE,PETROL,0,5,UNKNOWN,NEW ZEALAND,0,NONE,,V8,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1989
10238,GREEN,SALOON,3296,8569LDZ,1984,6,0,0,NEW,HOLDEN,COMMODORE,DIESEL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,CHRISTCHURCH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1984
10239,GREEN,SALOON,2786,D15586S,1965,11,0,0,NEW,FORD,FALCON,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,RANGITIKEI DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1965
10240,WHITE,CARAVAN,0,,2008,10,0,0,NEW,CARAVAN,TRAILMANOR,,2,0,IMPORTED BUILT-UP,UNITED STATES,0,NONE,,,TASMAN DISTRICT,,0,TRAILER/CARAVAN,OTHER,2008
10241,BROWN,SALOON,3310,8L35LE2,1985,3,0,0,NEW,HOLDEN,COMMODORE,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,TIMARU DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1985
